id,org,village,block,district_raw,district,state,matched_name,status,lat,lon
p0499,Goonj,"Divashi,Chinchpada",Dahanu,palghar,Palghar,Maharashtra,,block-centroid,19.951460311318154,72.88076598227259
p0500,Goonj,ashiv,Renapur,latur,Latur,Maharashtra,Ashiv,exact,18.096819770572623,76.34857554000553
p0501,Goonj,boparla,Renapur,latur,Latur,Maharashtra,Bopala,fuzzy,18.333855829024255,76.38190267847777
p0502,Goonj,uti,Renapur,latur,Latur,Maharashtra,,block-centroid,18.59683580686422,76.5644528532072
p0503,Goonj,bandhaghar.meghapada,Dahanu,palghar,Palghar,Maharashtra,,block-centroid,19.956494402608733,72.87686755096836
p0504,Goonj,"bandhaghar,patilpada",Dahanu,palghar,Palghar,Maharashtra,Patilpada,exact-block,20.0672338405953,73.08105263340906
p0505,Goonj,gunjoti,Renapur,latur,Latur,Maharashtra,Gunjoti,exact,18.688721260575274,76.7405406996832
p0506,Goonj,Rukhe,Dapoli,ratnagiri,Ratnagiri,Maharashtra,Rukhi,fuzzy,17.687092090625093,73.30431030689174
p0507,Goonj,"divshi,chamalpada",Dahanu,palghar,Palghar,Maharashtra,,block-centroid,19.9643799301632,72.85217361968328
p0508,Goonj,"Dabhalon,gundhunpada",Dahanu,palghar,Palghar,Maharashtra,,block-centroid,19.996142107768357,72.86054041920872
p0509,Goonj,kopara,Renapur,latur,Latur,Maharashtra,Kopra,fuzzy,18.7048282248496,76.80222608034603
p0510,Goonj,bhadgaon,Renapur,latur,Latur,Maharashtra,Bhadgaon,exact,18.40958989320723,76.68442503703695
p0511,Goonj,tapsi,Renapur,latur,Latur,Maharashtra,,block-centroid,18.565622012690678,76.54246890341068
p0512,Goonj,kajla,Dharashiv,dharashiv,Osmanabad,Maharashtra,Karla,fuzzy,18.404290508297468,75.43301525998935
p0513,Goonj,gaur,Kalamb,dharashiv,Osmanabad,Maharashtra,Gaur,exact,18.41841380028815,75.97255865844701
p0514,Goonj,Argalabindha (Schoolsahi),Bisoi,Mayurbhanj,Mayurbhanj,Odisha,,block-centroid,22.093444504956164,86.32205116841973
p0515,Goonj,Jhilidam Bandhsahi,Kuliana,Mayurbhanj,Mayurbhanj,Odisha,,block-centroid,22.071535409076287,86.6704525252294
p0516,Goonj,Masanabila,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Masinabila,fuzzy,22.043635916369112,86.47217946505323
p0517,Goonj,Gopalpur,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Gopalpur,exact-block,22.090508086388255,86.49716207033791
p0518,Goonj,Ghatiduba School sahi,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,,block-centroid,22.11072343830267,86.484465526735
p0519,Goonj,Bhagabandh Schoolsahi,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,,block-centroid,22.082212070016947,86.55211733016847
p0520,Goonj,Kanchhinda Bhuadihi,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,,block-centroid,22.080236417935083,86.49191220149794
p0521,Goonj,Atnabeda,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Hatnabeda,fuzzy,22.168562049876204,86.27895997110635
p0522,Goonj,Sinduria,Joshipur,Mayurbhanj,Mayurbhanj,Odisha,Sinduria,exact-block,22.03126987109614,86.13106481637807
p0523,Goonj,Baliaban,Joshipur,Mayurbhanj,Mayurbhanj,Odisha,Baliaban,exact,22.051215595039682,86.09583241409952
p0524,Goonj,Chakidi (Naiksahi),Joshipur,Mayurbhanj,Mayurbhanj,Odisha,Chakidi,exact-block,22.029205538322227,86.11129882387924
p0525,Goonj,Jamda (Beldisahi),Joshipur,Mayurbhanj,Mayurbhanj,Odisha,Jamda,exact-block,21.95320868759943,86.04095503795462
p0526,Goonj,Gondirabeda,Joshipur,Mayurbhanj,Mayurbhanj,Odisha,Gandirabeda,fuzzy,22.040573626443027,86.10991986916574
p0527,Goonj,Palasabani,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Palasabani,exact,21.495338261498855,86.53461149719213
p0528,Goonj,Sorisapal,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Sorisapal,exact,22.054101969513344,86.40870009370984
p0529,Goonj,Sorisapal (Dehurisahi),Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Sorisapal,exact,22.054101969513344,86.40870009370984
p0530,Goonj,Sorisapal (Lamasahi),Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Sorisapal,exact,22.054101969513344,86.40870009370984
p0531,Goonj,Baunspahadi,Bangriposi,Mayurbhanj,Mayurbhanj,Odisha,Baunsapahadi,fuzzy,22.046554407945653,86.4000948687837
p0532,Goonj,San Nedam,Bnagriposi,Mayurbhanj,Mayurbhanj,Odisha,Sannedam,fuzzy,22.066794143826673,86.4590518605559
p0533,Goonj,Samapada,Banswara,Banswara,Banswara,Rajasthan,Samapara,fuzzy,23.485115314967672,74.49803435027846
p0534,Goonj,Bortalab,Banswara,Banswara,Banswara,Rajasthan,Bortalab,exact,23.516353467747493,74.52152073294228
p0535,Goonj,Fatehapura,Banswara,Banswara,Banswara,Rajasthan,Fatehpura,fuzzy,23.44892402871628,74.53353618464214
p0536,Goonj,Kangarh,Dalot,Pratapgarh,Pratapgarh,Rajasthan,Kangarh,exact,23.603002390079507,74.79250602135362
p0537,Goonj,Parnala,Dalot,Pratapgarh,Pratapgarh,Rajasthan,,block-centroid,23.65595261263653,74.79497029725755
p0538,Goonj,Suli,Kushalgarh,Banswara,Banswara,Rajasthan,Tali,fuzzy,23.671041155888734,74.2131849105884
p0539,Goonj,Ukala,Kushalgarh,Banswara,Banswara,Rajasthan,Ukala,exact,23.151497613311584,74.3946614009292
p0540,Goonj,Khadadev,Banswara,Banswara,Banswara,Rajasthan,Khardeo,fuzzy,23.484542125861847,74.51716693711506
p0541,Goonj,Surajipada,Banswara,Banswara,Banswara,Rajasthan,Surjipara,fuzzy,23.4612433668505,74.53527654955144
p0542,Goonj,Bhatapura,Banswara,Banswara,Banswara,Rajasthan,Bhatpura,fuzzy,23.472376570022103,74.53273074111006
p0543,Goonj,Raghunathpura,Banswara,Banswara,Banswara,Rajasthan,Raghunathpura,exact,23.472232288758104,74.53888315046703
p0544,Goonj,Pagadi,Banswara,Banswara,Banswara,Rajasthan,Pagari,exact,23.477973065423456,74.52877021394801
p0545,Goonj,Lodhagariya,Banswara,Banswara,Banswara,Rajasthan,Lodha Gariyan,fuzzy,23.483292418939275,74.55202453017536
p0546,Goonj,Navatapara,Banswara,Banswara,Banswara,Rajasthan,Nawa Tapra Deva,exact,23.430562233189935,74.58838880618451
p0547,Goonj,Tagupipali,Banswara,Banswara,Banswara,Rajasthan,Tagu Pipli,fuzzy,23.445723055430662,74.54693961230086
p0548,Goonj,Vakhat pura,Banswara,Banswara,Banswara,Rajasthan,Bakhat Pura,fuzzy,23.537237545538332,74.18804703842828
p0549,Goonj,Jhupel,Banswara,Banswara,Banswara,Rajasthan,Jhoopel,exact,23.439017834611818,74.44546753593679
p0550,Goonj,Vadlipada,Sajjangarh,Banswara,Banswara,Rajasthan,,block-centroid,23.229390792916927,74.29466224469554
p0551,Goonj,Chhiyasath,Sajjangarh,Banswara,Banswara,Rajasthan,Chhiya Sath,fuzzy,23.159991113488548,74.3110634567097
p0552,Goonj,Jambudi,Banswara,Banswara,Banswara,Rajasthan,Jamburi,fuzzy,23.2394672060999,74.20093806221622
p0553,Goonj,Ganau,Banswara,Banswara,Banswara,Rajasthan,Ganaoo,exact,23.45793932673069,74.46296970892266
p0554,Goonj,Bhojiya kala,Banswara,Banswara,Banswara,Rajasthan,Bhojiya Kalan,fuzzy,23.438158402916127,74.46706370958478
p0555,Goonj,Kachalikhora,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.478961634297388,74.51115473157157
p0556,Goonj,Damarvasha,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.43973183701785,74.49597153243495
p0557,Goonj,Paniyala,Banswara,Banswara,Banswara,Rajasthan,Paniyala,exact,23.462501287701475,74.44019938405002
p0558,Goonj,Bhutiyadungari,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.462271400141724,74.52245465003075
p0559,Goonj,Bokadaakhora,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.452076700665614,74.4801046228337
p0560,Goonj,Rana,Dhamotar,Pratapgarh,Pratapgarh,Rajasthan,Rana,exact,24.219950597277403,74.4934700561162
p0561,Goonj,Bandelapada,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.4780765011254,74.46730790573389
p0562,Goonj,Kaali dungari,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.477155882815833,74.53390816740317
p0563,Goonj,Bodadungara,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.45513686760891,74.46340736153927
p0564,Goonj,Badalipada 1st,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.423298713257804,74.50553319901009
p0565,Goonj,Badalipada 2nd,Banswara,Banswara,Banswara,Rajasthan,,block-centroid,23.497540632035474,74.50715651115718
p0566,Goonj,Bhapor,Banswara,Banswara,Banswara,Rajasthan,Bhapor,exact,23.51286549187425,74.45015512017139
